scenario,balance_score,rating,cv,highest,lowest,ratio,mean,std
Current State,13.672602310939482,Poor Balance,86.04836498883726,7735000,310000,24.951612903225808,3137250.0,2699552.330612297
Revenue-Based,50.37889374381463,Moderate Imbalance,49.60116448019512,6190000,2061000,3.003396409509947,3137250.0,1556112.5326549215
Geographic,39.38189098179521,Poor Balance,59.814396957351825,6190000,581000,10.654044750430293,3137250.0,1876527.1685445202
Strict Regional,63.529043171197735,Moderate Imbalance,35.758901925055014,4866000,917000,5.306434023991276,3137250.0,1121846.1506437885
