scenario,total_travel_miles,avg_radius_miles,avg_region_concentration,most_compact_radius,most_spread_radius
Current State,1529256.3541591642,1609.791273512623,37.14583333333333,1471.0316726152048,2136.941255186281
Revenue-Based,1539436.3511551255,1674.7754327706489,38.37185810503839,1523.0809437501562,2215.203091286346
Geographic,1486469.2776882625,1762.55443187318,45.94894989878543,1502.0843804827048,2216.264996011966
Strict Regional,453501.3958166853,537.8304400827171,100.0,205.47476594819207,918.9821324917536
